Entity,Code,Year,Gini coefficient,Primary energy consumption per capita (kWh/person),GDP per capita,Human Development Index (UNDP),"Average Total Years of Schooling for Adult Population (Lee-Lee (2016), Barro-Lee (2018) and UNDP (2018))",Net imports (TWh),Oil production per capita (kWh),Urban population (% of total population),Renewables per capita (kWh - equivalent)
Norway,NOR,2006,0.263541735,109898.4844,71310.53125,0.936,12.5,0.85,320683.25,77.94999695,73.34102344
Norway,NOR,2007,0.270908142,116809.5391,74879.8125,0.938,12.6,-10.03,291856.3125,78.23400116,80.87950781
Norway,NOR,2008,0.269965325,118323.3828,76522.0625,0.938,12.7,-13.86,278997,78.52600098,82.702625
Norway,NOR,2009,0.261583686,107990.5234,76625.63281,0.938,12.7,-8.98,261123.625,78.81500244,73.20594531
Norway,NOR,2010,0.257239667,102416.4688,78476.14844,0.942,12.7,7.55,234678.1406,79.10199738,67.05225781
Norway,NOR,2011,0.253003652,102563.7656,80623,0.943,12.8,-3.08,219436.2031,79.45500183,67.99989844
Norway,NOR,2012,0.257262609,112095.7813,81759,0.942,12.6,-17.82,201912.8281,79.87400055,78.57365625
Norway,NOR,2013,0.263612033,103727.8516,81583,0.946,12.7,-5.01,189877.7969,80.28600311,70.02526563
Norway,NOR,2014,0.267526268,105516.5625,82216,0.946,12.5,-15.58,192163.9844,80.69200134,72.68748438
Norway,NOR,2015,0.274968957,105371.5234,82713,0.948,12.5,-14.65,196008.9688,81.09100342,72.57483594
Norway,NOR,2016,0.284937455,105687.4922,82814,0.951,12.6,-16.41,200014.6875,81.48500061,73.83992969
Norway,NOR,2017,0.269873302,105268.625,84056.33594,0.953,12.6,-15.16,195117.3906,81.8710022,72.91010156
Pakistan,PAK,2001,0.28653021,3391.941162,3176.946777,0.457,3.5,0,268.8559265,33.18000031,0.387191742
Pakistan,PAK,2004,0.308861069,3977.041016,3664.533447,0.487,4.3,0.11,260.4295654,33.78099823,0.504143402
Pakistan,PAK,2005,0.312612538,4032.86377,3883.93457,0.5,4.5,0.15,261.9718933,33.98199844,0.54836908
Pakistan,PAK,2007,0.296695024,4316.898438,4160.365234,0.513,4.4,0.2,269.7556763,34.38700104,0.533800354
Pakistan,PAK,2010,0.287808638,4128.532227,4354.26709,0.526,4.7,0.27,234.4786224,34.99700165,0.461348114
Pakistan,PAK,2011,0.29697957,4037.64624,4464,0.53,4.8,0.27,232.8801727,35.20199966,0.46074707
Pakistan,PAK,2013,0.295285731,3930.456787,4703,0.538,4.9,0.42,271.746521,35.61299896,0.452887512
Pakistan,PAK,2015,0.312912658,4091.016357,5030,0.551,5.1,0.46,289.1962891,36.02600098,0.457153748
Peru,PER,2000,0.490733633,5621.884277,6038.244629,0.678,8,0,2268.436768,73.04199982,1.826885498
Peru,PER,2001,0.513063335,5490.314453,6010.225098,0.686,8.1,0,2186.105957,73.44799805,1.950514526
Peru,PER,2002,0.535659229,5558.383301,6274.418457,0.687,8.3,0,2101.771729,73.84999847,1.964997192
Peru,PER,2003,0.530813275,5427.985352,6472.34082,0.686,8.4,0,2010.411499,74.24900055,1.986655762
Peru,PER,2004,0.498808504,5715.538086,6731.004883,0.693,8.6,0,1974.451782,74.64399719,1.845976196
Peru,PER,2005,0.504513566,5926.066895,7091.133301,0.698,8.7,-0.01,2221.084473,75.03399658,1.887233521
Peru,PER,2006,0.503328575,5929.505371,7560.896973,0.695,8.1,0,2292.757568,75.42099762,2.023624756
Peru,PER,2007,0.500220408,6437.128418,8138.365234,0.703,8.1,0,2251.54541,75.8030014,1.998060181
Peru,PER,2008,0.474873379,6875.695313,8812.618164,0.712,8.4,0,2321.432861,76.05200195,1.926676636
Peru,PER,2009,0.470065807,6994.017578,8836.016602,0.715,8.4,-0.06,2784.261719,76.24099731,1.981663208
Peru,PER,2010,0.455379256,7898.398438,9507.780273,0.717,8.4,-0.11,2915.724365,76.43000031,1.991473999
Peru,PER,2011,0.446601519,8646.855469,10044,0.729,9.1,0,2769.099121,76.61699677,2.105881836
Peru,PER,2012,0.444404087,8851.147461,10533,0.729,8.6,0,2705.866455,76.80400085,2.125253662
Peru,PER,2013,0.438828966,8966.116211,11034,0.736,8.8,0,2857.098877,76.98899841,2.164126221
Peru,PER,2014,0.431392253,9096.472656,11186,0.746,9.4,-0.01,2914.779541,77.17299652,2.177760254
Peru,PER,2015,0.433564001,9412.633789,11445,0.745,9.1,-0.05,2494.420898,77.35700226,2.261337891
Peru,PER,2016,0.436392562,9898.239258,11776,0.748,9.2,-0.02,2199.49585,77.53900146,2.234693604
Peru,PER,2017,0.4329279,10024.64355,11952.52539,0.75,9.2,0.02,2105.780029,77.72000122,2.623631348
Philippines,PHL,2000,0.427994724,3864.822998,4033.560791,0.624,7.6,0,9.294275284,46.13499832,0.71867218
Philippines,PHL,2003,0.414946578,3677.117432,4333.213867,0.637,8,0,104.8529892,45.88000107,0.603944702
Philippines,PHL,2006,0.428588396,3471.682373,4908.616699,0.651,8.8,0,179.7451172,45.625,0.648682495
Philippines,PHL,2009,0.417603385,3582.861328,5338.306152,0.659,9,0,239.3202667,45.37099838,0.597610474
Philippines,PHL,2012,0.422243295,3694.372803,6144,0.677,9.1,0,195.5285492,45.7120018,0.574757935
Philippines,PHL,2015,0.403514992,4342.771484,7047,0.693,9.3,0,149.2719116,46.2840004,0.54287854
Poland,POL,1992,0.292985629,29645.76172,7873.924805,0.714,10.1,-4.03,52.3451004,61.35900116,0.125937721
Poland,POL,1993,0.266988985,29551.11523,8229.529297,0.725,10.2,-2.41,79.71788788,61.40399933,0.119962463
Poland,POL,1995,0.346447211,28828.95898,9408.274414,0.74,10.5,-2.8,74.53112793,61.49300003,0.150724548
Poland,POL,1996,0.326554205,30224.87305,10066.1709,0.748,10.6,-3.12,81.12639618,61.5379982,0.159297882
Poland,POL,1998,0.323187391,28632.76563,11413.25586,0.769,10.8,-3.47,119.5697327,61.6269989,0.195565018
Poland,POL,1999,0.325903704,28073.15625,12058.41992,0.778,10.9,-4.93,145.4087982,61.67200089,0.181504486
Poland,POL,2000,0.329655369,26390.34375,12732.16699,0.785,11.1,-6.37,210.804184,61.7159996,0.18019371
Poland,POL,2001,0.328490263,26225.46875,13017.58398,0.791,11.1,-6.73,238.2465515,61.76100159,0.21512883
Poland,POL,2002,0.340502059,25970.76172,13415.57129,0.799,11.4,-7.07,215.6568756,61.78699875,0.212871735
Poland,POL,2003,0.349113337,26903.16602,14035.63672,0.804,11.5,-10.16,237.236145,61.67599869,0.181722198
Poland,POL,2004,0.354260608,27115.38281,14906.09375,0.802,11.6,-9.29,271.1523438,61.56399918,0.241663788
Poland,POL,2005,0.344925793,27739.75586,15580.93652,0.808,11.6,-11.19,258.2873535,61.45199966,0.314978546
Poland,POL,2006,0.337091161,29122.60156,16711.44727,0.814,11.7,-10.99,243.4739532,61.3409996,0.363619385
Poland,POL,2007,0.335089389,29040.89453,18067.42773,0.819,11.8,-5.35,221.9371338,61.22900009,0.453718872
Poland,POL,2008,0.33717042,29546.58203,19011.54688,0.824,11.9,-0.67,230.7743225,61.11600113,0.652273743
Poland,POL,2009,0.33578089,28515.29883,19718.46484,0.828,12.1,-2.19,201.558075,61.00400162,0.874228149
Poland,POL,2010,0.332188336,30424.77148,20608.69336,0.835,12.2,-1.35,209.8579254,60.89199829,1.050774292
Poland,POL,2011,0.327763434,30635.35352,21837,0.839,12.3,-5.24,203.227005,60.77999878,1.238461304
Poland,POL,2012,0.323912772,29801.97852,22188,0.836,11.7,-2.84,219.040741,60.65399933,1.558199341
Poland,POL,2013,0.325495204,29926.81836,22510,0.85,12.1,-4.52,313.9220276,60.52899933,1.547384766
Poland,POL,2014,0.320801538,28902.92188,23266,0.842,11.3,2.17,315.0115967,60.40299988,1.750351196
Poland,POL,2015,0.318235289,29245.21094,24177,0.855,12.1,-0.33,301.7047119,60.27799988,1.918927734
Poland,POL,2016,0.307963476,30553.07617,24838,0.86,12.2,2,330.6403809,60.1780014,1.848612183
Portugal,PRT,2003,0.387753517,29086.92188,23677.51953,0.796,7.2,2.79,0,56.28699875,4.961356445
Portugal,PRT,2004,0.389388362,28414.33984,24142.76563,0.797,7.4,6.48,0,56.9070015,3.435172119
Portugal,PRT,2005,0.384800724,28258.83203,24377.94922,0.8,7.5,6.82,0,57.52199936,2.29337793
Portugal,PRT,2006,0.380607799,27960.93359,24809.03906,0.803,7.6,5.44,0,58.13700104,4.354233398
Portugal,PRT,2007,0.367501832,28096.48242,25477.20508,0.81,7.7,7.49,0,58.74900055,4.535803711
Portugal,PRT,2008,0.36634151,27063.68555,25590.88086,0.814,7.8,9.43,0,59.35900116,4.099277832
Portugal,PRT,2009,0.349074152,27275.08594,24902.45703,0.817,7.9,4.78,0,59.9640007,5.141181152
Portugal,PRT,2010,0.358446705,28792.58594,25463.16406,0.822,8.1,2.62,0,60.56700134,7.887212891
Portugal,PRT,2011,0.363446774,27535.70898,25133,0.826,8.3,2.81,0,61.16699982,6.749356934
Portugal,PRT,2012,0.360347924,25248.98438,24218,0.829,8.5,7.89,0,61.76300049,5.479419434
Portugal,PRT,2013,0.361871044,27861.43945,24076,0.837,8.6,2.78,0,62.35200119,8.109275879
Portugal,PRT,2014,0.355621728,28573.08594,24423,0.839,8.9,0.9,0,62.93600082,8.655511719
Portugal,PRT,2015,0.355233023,28088.19141,24915,0.842,9.1,2.27,0,63.51399994,6.870195801
Portugal,PRT,2016,0.351905183,30167.52734,25346,0.845,9.2,-5.09,0,64.08599854,8.831972656
Romania,ROU,1992,0.254617279,23557.40625,4818.304199,0.678,9.2,4.2,3396.585938,54.22700119,1.480296875
Romania,ROU,1994,0.282005825,21840.06445,5427.070801,0.681,9.4,0.72,3508.750244,53.92200089,1.668852417
Romania,ROU,1995,0.311580259,24158.88477,6014.689941,0.687,9.5,0.3,3520.184082,53.76900101,2.149425781
Romania,ROU,1997,0.305044268,23117.52734,6446.417969,0.696,9.7,0.22,3467.792725,53.46300125,2.288627686
Romania,ROU,1998,0.310832401,21313.9375,6407.466797,0.698,9.7,0.39,3392.254883,53.31100082,2.486396484
Romania,ROU,1999,0.294176679,18888.18164,6613.933105,0.704,9.8,-0.83,3327.085938,53.15800095,2.42546582
Romania,ROU,2000,0.293238638,18987.39063,7089.946289,0.709,9.9,-0.7,3302.905273,53.00400162,1.973959839
Romania,ROU,2001,0.294290588,19332.31055,7860.443359,0.715,9.7,-1.31,3299.230225,52.85200119,1.993719849
Romania,ROU,2002,0.302299389,20194.07813,8673.619141,0.724,9.6,-2.85,3231.431152,52.77999878,2.143623535
Romania,ROU,2003,0.299112872,20314.74805,9369.233398,0.734,9.7,-2.08,3153.749268,52.91199875,1.770792603
Romania,ROU,2004,0.300393721,21194.125,10531.17188,0.746,9.9,-1.18,3074.867432,53.04299927,2.205845703
Romania,ROU,2005,0.298193913,21398.4082,11313.82227,0.755,10.1,-2.9,2952.395752,53.17399979,2.702497314
Romania,ROU,2006,0.304642964,22022.0293,12823.23145,0.767,10.3,-4.27,2736.301514,53.30500031,2.460445313
Romania,ROU,2007,0.302072898,21450.41016,14418.83008,0.781,10.5,-2.09,2623.553955,53.43600082,2.152019043
Romania,ROU,2008,0.295838115,21721.44141,16347.34375,0.795,10.6,-4.25,2634.81665,53.56700134,2.32408667
Romania,ROU,2009,0.281893464,19154.24805,15866.12695,0.798,10.6,-2.3,2534.72998,53.69800186,2.104947021
Romania,ROU,2010,0.281582378,19486.89258,16377.32813,0.797,10.7,-2.27,2435.431396,53.82899857,2.754811279
Romania,ROU,2011,0.272115199,20095.43945,17174,0.798,10.8,-1.91,2414.443604,53.95999908,2.217197998
Romania,ROU,2012,0.273342376,19427.06836,17174,0.795,10.9,0.25,2289.493896,53.97399902,2.028014526
Romania,ROU,2013,0.274506993,18210.125,17979,0.8,10.9,-2.02,2386.333496,53.93700027,2.711322998
Romania,ROU,2014,0.360115397,18991.2168,18515,0.802,10.9,-7.13,2352.012939,53.90000153,3.398885498
Romania,ROU,2015,0.359138906,19195.01953,19320,0.805,10.9,-6.73,2336.485107,53.88700104,3.554439941
Romania,ROU,2016,0.283457048,19325.34961,17782,0.807,11,-5.02,2233.614502,53.90000153,3.660817871
Romania,ROU,2017,0.360168279,19792.29297,19158.35938,0.811,11,-2.89,2150.376221,53.93600082,3.302168701
Russia,RUS,2000,0.370928293,49274.92578,10552.88477,0.72,11.3,-14.05,25948.22266,73.34999847,3.315523193
Russia,RUS,2001,0.369251149,50251.87891,11391.19434,0.727,11.4,-15.94,28046.44531,73.34600067,3.505556152
Russia,RUS,2002,0.372838298,50259.44922,12259.47656,0.732,11.4,-8.1,30729.30273,73.34100342,3.263209473
Russia,RUS,2003,0.399715701,51506.96484,13521.23926,0.74,11.4,-13.38,34237.05859,73.3730011,3.129242188
Russia,RUS,2004,0.403158422,52151.95703,14880.97852,0.746,11.4,-7.62,37396.23047,73.41799927,3.522484619
Russia,RUS,2005,0.412656056,52229.35156,16243.10059,0.752,11.4,-12.38,38435.77734,73.46299744,3.449064697
Russia,RUS,2006,0.409509505,54649.63672,18008.33594,0.759,11.4,-15.81,39435.20313,73.50800323,3.448191162
Russia,RUS,2007,0.42272473,54990.87891,20018.12305,0.767,11.4,-12.8,40372.10938,73.5530014,3.503661621
Russia,RUS,2008,0.415685851,55250.91797,21563.46094,0.774,11.4,-17.63,40127.23047,73.59799957,3.241817139
Russia,RUS,2009,0.398456009,52482.74609,20335.55859,0.771,11.5,-14.86,40682.17188,73.64199829,3.403745117
Russia,RUS,2010,0.395489776,54464.85547,21737.38477,0.78,11.5,-17.45,41526.77344,73.68699646,3.230776855
Russia,RUS,2011,0.397493144,56231.45313,23130,0.789,11.6,-22.55,42040.60547,73.73200226,3.140681641
Russia,RUS,2012,0.407148269,56244.02734,23931,0.798,11.7,-16.48,42543.02344,73.79100037,3.122045898
Russia,RUS,2013,0.408844243,55405.80469,24224,0.804,11.8,-13.68,42887.51563,73.86299896,3.429989746
Russia,RUS,2014,0.398812219,55408.23438,24387,0.807,11.9,-8.05,43204.70313,73.94999695,3.262001953
Russia,RUS,2015,0.377408416,54351.13281,23691,0.813,12,-11.66,43681.35547,74.05000305,3.138019287
Russia,RUS,2016,0.368484993,55437.67578,23635,0.815,12,-14.5,44708.96484,74.16400146,3.421283447
Russia,RUS,2017,0.37239071,55675.09766,24042.63477,0.816,12,-10.6,44636.11328,74.29199982,3.408021729
Slovakia,SVK,1996,0.262776853,39222.01953,12622.90918,0.754,11.2,3.52,198.1306305,56.47600174,2.321202637
Slovakia,SVK,2004,0.289373885,39559.375,16570.86133,0.785,10.6,-1.86,105.9606094,55.71300125,2.146093018
Slovakia,SVK,2005,0.29834425,41708.82813,17649.51953,0.794,10.8,-3.27,86.21845245,55.56299973,2.41987915
Slovakia,SVK,2006,0.277095102,40268,19099.42773,0.803,10.9,-2.33,76.36894989,55.41199875,2.494299805
Slovakia,SVK,2007,0.280048336,37770.00781,21109.93945,0.814,11.1,1.73,59.12414169,55.26100159,2.548220215
Slovakia,SVK,2008,0.268743958,39079.17188,22231.98828,0.822,11.2,0.52,51.86894608,55.11100006,2.433749268
Slovakia,SVK,2009,0.260160967,35583.30078,20953.03711,0.824,11.4,1.31,24.62386131,54.95999908,2.608983154
Slovakia,SVK,2010,0.273157199,37883.23828,21941.21289,0.829,11.6,1.04,24.61067772,54.68500137,3.021628662
Slovakia,SVK,2011,0.265383783,36421.82813,22483,0.837,12.1,0.73,24.58956909,54.41999817,2.543827881
Slovakia,SVK,2012,0.261162957,34960.80859,22816,0.842,12.3,0.39,24.62983131,54.27999878,2.802006104
Slovakia,SVK,2013,0.280862088,35796.80469,23132,0.844,12.2,0.09,24.53156662,54.13999939,3.219712891
Slovakia,SVK,2014,0.26106635,33376.5625,23703,0.845,12.3,1.1,24.49958801,54,3.289407471
Slovakia,SVK,2015,0.264916569,33661.88281,24588,0.851,12.5,2.39,24.46886635,53.88899994,3.244632813
Slovakia,SVK,2016,0.251677467,33776.46094,25364,0.853,12.5,2.65,24.50714874,53.80599976,3.376613525
Slovenia,SVN,1993,0.291849925,33319.67969,15872.12012,0.769,11.1,-1.42,0,50.56900024,4.485975098
Slovenia,SVN,1997,0.241215008,40218.33203,19258.94531,0.796,11.4,-1.7,0,50.67499924,4.598868652
Slovenia,SVN,1998,0.284066834,40332.36719,19851.05664,0.805,11.4,-1.92,0,50.70100021,5.133186523
Slovenia,SVN,1999,0.240428866,39910.70313,20793.91797,0.819,11.5,-1.34,0,50.72800064,5.612296387
Slovenia,SVN,2002,0.291216106,41149.77344,22725.3125,0.843,11.5,-1.13,4.398640156,50.85699844,5.029879395
Slovenia,SVN,2003,0.308660228,40351.50391,23257.42188,0.85,11.5,0.16,3.143061161,51.08200073,4.509944336
Slovenia,SVN,2004,0.247907384,42799.28125,24150.58398,0.857,12,-0.76,1.886537671,51.30799866,6.123234863
Slovenia,SVN,2005,0.246348632,42700.67188,24966.93945,0.861,11.7,-0.32,1.558566928,51.53300095,5.143621582
Slovenia,SVN,2006,0.243639268,42925.03906,26182.7793,0.869,11.8,0.04,1.55276978,51.75799942,5.260554688
Slovenia,SVN,2007,0.243547532,42476.01172,27832.76367,0.873,11.8,0.23,1.545283556,51.98300171,4.75466748
Slovenia,SVN,2008,0.23718019,46287.62109,28473.5957,0.878,11.9,-1.6,1.551441073,52.20899963,6.041647949
Slovenia,SVN,2009,0.247877353,42534.57813,25905.51367,0.878,12.1,-3.06,1.528811812,52.43299866,6.782796875
Slovenia,SVN,2010,0.249332595,42411.10156,26000.91992,0.882,12.1,-2.12,1.521682262,52.65800095,6.499970703
Slovenia,SVN,2011,0.248680337,41015.90234,26004,0.884,12.2,-1.37,1.515790701,52.88299942,5.271267578
Slovenia,SVN,2012,0.255855023,39730.51172,25252,0.877,11.7,-1.04,1.525222659,53.10800171,5.826569336
Slovenia,SVN,2013,0.262411044,39204.09766,24944,0.885,11.7,-1.29,1.50709033,53.33200073,6.808124023
Slovenia,SVN,2014,0.256575347,40131.55469,25693,0.887,11.9,-2.74,1.50390625,53.55699921,8.724441406
Slovenia,SVN,2015,0.254084646,36127.53125,26268,0.889,12,-0.05,1.501211762,53.78099823,5.72672998
Slovenia,SVN,2016,0.247579359,38558.47266,26908,0.894,12.3,-1.18,1.513177991,54.02000046,6.599624512
South Africa,ZAF,2000,0.577696618,26360.75977,7582.77832,0.63,8.8,1.33,436.6191101,56.89099884,0.106908295
South Africa,ZAF,2005,0.647624886,27141.77734,9393.693359,0.614,8.9,-3.68,497.5553284,59.5359993,0.109743401
South Africa,ZAF,2008,0.630089973,29323.49023,10977.14648,0.633,9.7,-3.6,228.8877869,61.15399933,0.10276442
South Africa,ZAF,2010,0.63383188,28560.82227,11318.60449,0.649,10,-2.47,89.90078735,62.2179985,0.089975159
South Africa,ZAF,2014,0.630260727,26501.65625,12242,0.685,10,-2.66,78.94074249,64.31199646,0.216809586
South Korea,KOR,2006,0.317029842,54634.96094,28516.48438,0.862,11.4,0,0,81.52799988,0.246003128
South Korea,KOR,2008,0.323248326,56853.88672,30117.72852,0.874,11.6,0,0,81.73300171,0.300953949
South Korea,KOR,2010,0.320212246,61460.48438,31537.77344,0.884,11.8,0,0,81.93599701,0.565165466
South Korea,KOR,2012,0.315580517,64587.00391,32791,0.89,11.9,0,0,81.85099792,0.832192322
South Korea,KOR,2014,0.311929046,64728.52344,34493,0.896,12.1,0,0,81.70700073,1.141859741
South Korea,KOR,2016,0.314048565,67265.79688,36103,0.9,12.1,0,0,81.56199646,1.363351318
Spain,ESP,1990,0.32023741,27262.39063,19215,0.754,6.52,-0.42,383.1944275,75.35099792,1.962583984
Spain,ESP,1995,0.366541199,30648.13086,21522.09766,0.8,7.7,4.49,247.9406433,75.85600281,1.819972534
Spain,ESP,2000,0.342510455,37419.38672,26994.85938,0.825,8.4,4.44,72.22071838,76.26200104,2.622436768
Spain,ESP,2003,0.31804665,40070.69922,29371.86523,0.833,8.6,1.26,95.84107971,76.77799988,3.910460693
Spain,ESP,2004,0.333052924,40854.25,30088.0918,0.837,8.6,-3.03,85.93077087,77.02200317,3.448467773
Spain,ESP,2005,0.324356387,40469.85156,30885.60156,0.844,8.9,-1.34,43.48488998,77.26300049,2.801927734
Spain,ESP,2006,0.335452265,40403.71094,31907.42383,0.848,9,-3.28,41.43057632,77.5019989,3.378123291
Spain,ESP,2007,0.34138834,40652.96484,32735.43359,0.853,9.1,-5.75,37.43284607,77.73999786,3.685117188
Spain,ESP,2008,0.342215725,38981.14453,32844.32422,0.856,9.2,-11.04,35.9193573,77.97599792,3.877988525
Spain,ESP,2009,0.349261256,35738.05078,31669.69141,0.858,9.3,-8.1,31.04574203,78.20999908,4.525187988
Spain,ESP,2010,0.352468371,36433.95313,31786.4043,0.865,9.4,-8.33,33.92042923,78.44200134,6.100064941
Spain,ESP,2011,0.356986043,35630.37891,31600,0.87,9.5,-6.09,28.48108673,78.67299652,5.513243164
Spain,ESP,2012,0.354063304,35448.73828,30699,0.873,9.5,-11.2,39.58887863,78.90200043,5.632724121
Spain,ESP,2013,0.361851672,33770.98047,30280,0.875,9.5,-6.75,96.74099731,79.13300323,6.720865234
Spain,ESP,2014,0.360544135,33253.95703,30819,0.88,9.7,-3.41,82.66849518,79.36599731,6.68023877
Spain,ESP,2015,0.361814192,33745.39453,31847,0.885,9.7,-0.13,61.67905807,79.60199738,5.908110352
Spain,ESP,2016,0.357598942,34094.64453,30110,0.889,9.8,7.67,35.4814682,79.83999634,6.344961914
Sri Lanka,LKA,2002,0.401719063,2807.040283,5721.308594,0.697,10.2,0,0,18.34900093,0.414267883
Sri Lanka,LKA,2006,0.396690194,3367.898438,6904.036133,0.724,10.5,0,0,18.28800011,0.672211914
Sri Lanka,LKA,2009,0.360541525,3203.210938,7796.647461,0.74,10.9,0,0,18.24200058,0.545080261
Sri Lanka,LKA,2012,0.387136085,3796.52124,9678,0.757,10.9,0,0,18.19599915,0.46536145
Sri Lanka,LKA,2016,0.393457734,4939.557617,11149,0.768,10.9,0,0,18.31100082,0.604297546
Sweden,SWE,1992,0.249087335,75053.07813,27198.5293,0.821,10.7,-2.16,0,83.36100006,26.0629043
Sweden,SWE,1995,0.252365056,73834.9375,28519.44336,0.856,10.9,-1.68,0,83.8239975,23.67327539
Sweden,SWE,2000,0.272364418,71999.0625,34202.60547,0.897,11.4,4.68,0,84.02600098,27.78855078
Sweden,SWE,2003,0.252697464,68724.20313,36435.75391,0.908,11.8,12.83,0,84.19599915,19.17507227
Sweden,SWE,2004,0.261421744,73703.42969,38016.0625,0.896,12.3,-2.1,0,84.25800323,22.24930078
Sweden,SWE,2005,0.268256759,75325.78125,39258.99219,0.899,12.4,-7.39,0,84.31900024,26.16221289
Sweden,SWE,2006,0.263524928,70338.25781,40992.30078,0.902,12.4,6.04,0,84.43000031,22.74125586
Sweden,SWE,2007,0.271161052,70878.36719,42399.84375,0.905,12.5,1.32,0,84.58799744,24.52322461
Sweden,SWE,2008,0.281213356,69228.59375,42189.96484,0.901,12.2,-1.96,0,84.7460022,25.56505859
Sweden,SWE,2009,0.273414697,62963.44531,40116.3125,0.899,12.2,4.69,0,84.90200043,24.64514648
Sweden,SWE,2010,0.277381608,66201.17188,42634.75391,0.905,12.3,2.08,0,85.05599976,25.38910547
Sweden,SWE,2011,0.276066224,64925.12109,42079,0.906,12.4,-7.23,0,85.29699707,25.87988281
Sweden,SWE,2012,0.276453794,68370.30469,41650,0.908,12.4,-19.57,0,85.62000275,29.60826367
Sweden,SWE,2013,0.288252206,63555.34766,41811,0.912,12.2,-10,0,85.93599701,24.75789063
Sweden,SWE,2014,0.283897227,62778.60156,42476,0.92,12.3,-15.62,0,86.24700165,25.51855859
Sweden,SWE,2015,0.292101908,64414.26953,43746,0.929,12.4,-22.6,0,86.5530014,30.01680664
Sweden,SWE,2016,0.295621745,62790.32031,44659,0.932,12.4,-11.73,0,86.85199738,26.42386133
Switzerland,CHE,2000,0.334310552,51000.60156,43251.10547,0.889,11.4,-7.07,0,73.38300323,15.62594727
Switzerland,CHE,2002,0.316867314,50169.72656,44934.31641,0.891,11.7,-4.51,0,73.40100098,14.62815332
Switzerland,CHE,2006,0.339188077,47269.94922,51862.96484,0.912,12.3,2.7,0,73.5039978,12.3134375
Switzerland,CHE,2007,0.342555348,46251.09375,54509.53906,0.915,12.6,-2.06,0,73.52999878,13.74211328
Switzerland,CHE,2008,0.337946999,47251.40234,56054.88281,0.917,12.9,-1.13,0,73.55599976,13.82077148
Switzerland,CHE,2009,0.328558563,46559.67578,55171.5,0.927,13.3,-2.16,0,73.58100128,13.47097559
Switzerland,CHE,2010,0.325530304,44793.81641,57219.5,0.932,13.3,0.52,0,73.60700226,13.38554297
Switzerland,CHE,2011,0.317136185,41992.48828,58686,0.932,13.3,2.59,0,73.6309967,11.94384668
Switzerland,CHE,2012,0.315671265,43822.40625,58674,0.935,13.4,-2.2,0,73.65299988,13.95922363
Switzerland,CHE,2013,0.324621873,44401.46094,59036,0.938,13.4,-2.4,0,73.6740036,13.7590332
Switzerland,CHE,2014,0.325256587,41887.41797,59485,0.939,13.4,-5.49,0,73.69599915,13.51974609
Switzerland,CHE,2015,0.323069572,40509.34766,59307,0.942,13.4,-1.03,0,73.71800232,13.43395215
Switzerland,CHE,2016,0.33042451,37723.59375,59662,0.943,13.4,3.92,0,73.73899841,12.17996973
Thailand,THA,2000,0.428336678,11785.84668,9627.104492,0.649,6.1,2.82,1317.330444,31.38599968,0.303439514
Thailand,THA,2002,0.419444959,13239.70605,10276.39844,0.666,6.5,2.62,1551.947632,33.73400116,0.373099396
Thailand,THA,2004,0.425403126,15235.43945,11408.32617,0.683,6.8,3.12,1747.904785,36.16899872,0.352448975
Thailand,THA,2006,0.418190339,15855.19434,12180.71094,0.699,7,4.57,2295.326416,38.67300034,0.472140137
Thailand,THA,2007,0.397615164,16463.36328,12694.71484,0.71,7.1,3.74,2407.684082,39.95000076,0.48342511
Thailand,THA,2008,0.402882739,16608.78125,12768.12891,0.714,7.3,1.82,2529.231689,41.24200058,0.489673523
Thailand,THA,2009,0.396012638,17154.9375,12543.39844,0.718,7.5,1.15,2606.706299,42.54299927,0.523246643
Thailand,THA,2010,0.394027714,18191.40234,13343.54688,0.724,7.7,5.94,2635.939453,43.85599899,0.510536194
Thailand,THA,2011,0.374590334,18568.32227,13318,0.727,7.5,9.44,2724.09082,44.69800186,0.641970032
Thailand,THA,2012,0.392566692,19794.80664,14227,0.731,7.7,8.62,2961.065674,45.44499969,0.74637793
Thailand,THA,2013,0.378471082,19811.4043,14562,0.728,7.5,10.78,2917.470459,46.19300079,0.764552734
Thailand,THA,2014,0.37032664,20343.91602,14642,0.735,7.6,10.19,2869.641846,46.94300079,0.866446533
Thailand,THA,2015,0.359873327,20715.24219,15020,0.741,7.6,12.15,2978.51416,47.69400024,0.868171936
Thailand,THA,2016,0.368906279,21058.52148,15454,0.748,7.6,18.39,3056.728516,48.44800186,0.968686829
Thailand,THA,2017,0.36528755,21356.77344,16032.21582,0.755,7.6,23.32,2951.278076,49.20000076,1.133260132
Turkey,TUR,1994,0.413152024,11030.25,9308.695313,0.599,4.8,-0.54,800.2788696,61.59000015,1.577874634
Turkey,TUR,2002,0.413963778,13195.61426,11753.95313,0.672,5.7,3.15,458.4085388,65.97399902,1.522219116
Turkey,TUR,2003,0.421843381,13773.59277,12380.20703,0.679,5.8,0.57,437.2988892,66.60199738,1.560564331
Turkey,TUR,2004,0.41287508,14546.57129,13423.79492,0.685,5.9,-0.68,406.1462708,67.22499847,1.991671753
Turkey,TUR,2005,0.426146563,14678.95215,14487.75781,0.69,6,-1.16,411.4953308,67.83999634,1.676128418
Turkey,TUR,2006,0.396474127,16083.24902,15425.18848,0.701,6.1,-1.66,392.3150024,68.44999695,1.842644897
